claim_id,claim_text,claim_class,tier,source_id,locator,support,verification_status,verifications,scenario_dependent,notes
CLM-0001,"AEMO received 44 GW of data centre connection requests from NSPs in the 2025 IASR process",factual,1,SRC-OXF-2025-PHANTOM,briefing p1,direct,verified,"3-0 adversarial 2026-07-16",no,"AWS conflict flagged; also corroborated in SRC-OXF-2025-DCED"
CLM-0002,"About 6 in every 7 MW of those requests are estimated to be phantom demand under Step Change",factual,1,SRC-OXF-2025-PHANTOM,briefing p1,direct,verified,"3-0 adversarial 2026-07-16",yes,"Scenario-dependent (Step Change); AWS conflict flagged"
CLM-0003,"Filtering for likelihood to proceed and duplicate applications reduces the 44 GW stock to about 7.9 GW of prospective projects; about 6 GW required under Step Change",factual,1,SRC-OXF-2025-PHANTOM,briefing p1-2,direct,verified,"3-0 adversarial 2026-07-16",yes,"AWS conflict flagged"
CLM-0004,"Proceeding projects (about 6 GW requested) are expected to draw about 2.8 GW at maturity",factual,1,SRC-OXF-2025-PHANTOM,briefing p2,direct,verified,"3-0 adversarial 2026-07-16",yes,"AWS conflict flagged; requests sized on peak plus redundancy buffers"
CLM-0005,"Nearly 90 per cent of phantom demand is projects that will not proceed; requests characterised as firms competing to lock in scarce capacity",factual,1,SRC-OXF-2025-PHANTOM,briefing p2,direct,verified,"3-0 adversarial 2026-07-16",yes,"AWS conflict flagged"
CLM-0006,"AEMC Package 2 exists; draft determination 12 March 2026 consolidating three rule change requests originating from AEMO (April 2024)",institutional,1,SRC-AEMC-2026-P2,project page,direct,verified,"3-0 adversarial 2026-07-16",no,
CLM-0007,"Draft rule raises the large inverter-based load threshold from 5 MW to 30 MW embedded in the NER",institutional,1,SRC-AEMC-2026-P2,project page,direct,verified,"3-0 adversarial 2026-07-16",no,
CLM-0008,"Package 2 is a system-security reform (disturbance ride-through); it does not address connection-capacity allocation, queues or pricing",institutional,1,SRC-AEMC-2026-P2,project page,direct,verified,"3-0 adversarial 2026-07-16",no,"Load-bearing for the paper's vacuum framing"
CLM-0009,"Stakeholder feedback on the draft determination was due 7 May 2026",institutional,2,SRC-AEMC-2026-MR,media release,direct,verified,"3-0 adversarial 2026-07-16",no,
CLM-0010,"Three-tier classification proposed for distribution-connected loads (up to 30 MW; 30-100 MW; 100 MW plus)",institutional,2,SRC-AEMC-2026-MR,media release,direct,verified,"3-0 adversarial 2026-07-16",no,
CLM-0011,"Oxford Economics Australia Data Centre Energy Demand Final Report (July 2025) exists, AEMO-commissioned for the 2025 IASR, hosted on AEMO's site",factual,2,SRC-OXF-2025-DCED,title page,direct,verified,"3-0 adversarial 2026-07-16",no,
CLM-0012,"The 44 GW / 6-in-7 / 6 GW figures appear in the AEMO-hosted report itself",factual,1,SRC-OXF-2025-DCED,report body,direct,verified,"2-0 adversarial 2026-07-16",yes,
CLM-0013,"Step Change: data centre consumption growing 25.1 per cent average annual rate to 12.0 TWh by FY30 and 34.5 TWh by FY50",factual,1,SRC-OXF-2025-DCED,report body,direct,single_extraction,"0 votes (rate limit)",yes,"Promote at PH1-EVD-001"
CLM-0014,"FY25 baseline 3.9 TWh (1.4 TWh FY18); about 2 per cent of NEM grid-supplied consumption; over 98 per cent distribution-connected; about 1.5 per cent transmission-connected",factual,1,SRC-OXF-2025-DCED,report body,direct,single_extraction,"0 votes (rate limit)",no,"Load-bearing for dual-level scoping"
CLM-0015,"AEMC extended the Package 2 final determination to 29 October 2026",institutional,1,SRC-AEMC-2026-P2,project page,direct,single_extraction,"0 votes (rate limit)",no,"Drives the regulatory watch calendar"
CLM-0016,"Data | Power is a speech by AEMC Commissioner Rainer Korte, 28 April 2026, Melbourne",factual,3,SRC-AEMC-2026-KORTE,page header,direct,single_extraction,"0 votes (rate limit)",no,
CLM-0017,"AEMO QED March quarter 2026: 11 projects above 5 MW totalling 5.4 GW in the transmission connection process; about 60 per cent NSW, 40 per cent Victoria; about two years application to energisation; 5 to 10 year assumed ramp",factual,1,SRC-CS-2026-QED,blog body,partial,single_extraction,"0 votes (rate limit)",no,"Blog-quality source; MUST confirm against AEMO QED primary before use"
CLM-0018,"DISR Expectations released 23 March 2026; five expectations; enforced via prioritisation in Commonwealth regulatory assessments",institutional,1,SRC-DISR-2026-EXP,publication page,direct,single_extraction,"0 votes (rate limit)",no,"Incumbent Australian soft screen"
CLM-0019,"United Energy Dec 2025: 27 proponent requests totalling about 1679 MW across Victorian Power Networks since November 2024; expected capacity 44 per cent below pipeline; 85 per cent customer contribution rate accepted; capital-contribution tax from 1 July 2026",factual,1,SRC-AER-2025-UE,business case,direct,single_extraction,"0 votes (rate limit); quotes via search index",no,"Confirm by direct document access"
CLM-0020,"FERC issued six show cause orders under FPA s206 on 18 June 2026 to PJM, MISO, SPP, CAISO, ISO-NE, NYISO; 60-day responses; five reform categories; resource adequacy reports due about 20 July 2026",institutional,1,SRC-FERC-2026-SC,news release,direct,single_extraction,"0 votes (rate limit)",no,
