source_id,apa7_reference,source_type,url,access_date,primary_or_secondary,peer_reviewed,jurisdiction,verification_status,conflict_flag,notes
SRC-AEMC-2026-P2,"Australian Energy Market Commission. (2026, March 12). Improving the NEM access standards - Package 2: Draft determination.",regulator_rule_change,https://www.aemc.gov.au/rule-changes/improving-nem-access-standards-package-2,2026-07-16,primary,no,AU,verified,none,"Security standards; final determination due 2026-10-29"
SRC-AEMC-2026-MR,"Australian Energy Market Commission. (2026). AEMC proposes new grid standards for data centre connections [Media release].",regulator_media,https://www.aemc.gov.au/news-centre/media-releases/aemc-proposes-new-grid-standards-data-centre-connections,2026-07-16,primary,no,AU,verified,none,
SRC-AEMC-2026-KORTE,"Korte, R. (2026, April 28). Data | Power: Navigating policy, regulation and networks [Speech]. Australian Energy Market Commission.",speech,https://www.aemc.gov.au/news-centre/speeches/data-power-navigating-policy-regulation-and-networks,2026-07-16,primary,no,AU,single_extraction,none,"Speech, not Commission report"
SRC-OXF-2025-DCED,"Oxford Economics Australia. (2025, July). Data centre energy demand: Final report. Commissioned by AEMO.",commissioned_report,https://www.aemo.com.au/-/media/files/stakeholder_consultation/consultations/nem-consultations/2024/2025-iasr-scenarios/final-docs/oxford-economics-australia-data-centre-energy-consumption-report.pdf,2026-07-16,primary,no,AU,verified,none,"AEMO-commissioned for 2025 IASR"
SRC-OXF-2025-PHANTOM,"Oxford Economics. (2025, November). Estimating data centre phantom demand [Research briefing].",commissioned_briefing,https://datacentres.org.au/wp-content/uploads/2026/02/2025-11_Oxford-Phantom-Demand-Research-Briefing.pdf,2026-07-16,primary,no,AU,verified,AWS_commissioned,"Conflict: commissioned by AWS"
SRC-AER-2025-UE,"United Energy. (2025, December). Data centre connections business case [Regulatory proposal document]. Australian Energy Regulator.",regulatory_filing,https://www.aer.gov.au/system/files/2025-12/UE%20RRP%20BUS%203.6.01%20%E2%80%93%20Data%20centre%20connections%20%E2%80%93%20Dec2025%20%E2%80%93%20Public.pdf,2026-07-16,primary,no,AU,single_extraction,none,"Quotes via search index; direct fetch blocked; confirm"
SRC-DISR-2026-EXP,"Department of Industry, Science and Resources. (2026, March 23). Expectations of data centres and AI infrastructure developers.",government_policy,https://www.industry.gov.au/publications/expectations-data-centres-and-ai-infrastructure-developers,2026-07-16,primary,no,AU,single_extraction,none,
SRC-CS-2026-QED,"Certified Strategic. (2026, June). AEMO 5.4 GW Australian data centre pipeline [Blog summary of AEMO QED Q1 2026].",blog,https://certifiedstrategic.com/insights/aemo-5-4gw-australian-data-centre-pipeline-june-2026,2026-07-16,secondary,no,AU,single_extraction,none,"Discovery only; confirm vs AEMO QED primary"
SRC-FERC-2026-SC,"Federal Energy Regulatory Commission. (2026, June 18). FERC launches aggressive targeted action to speed large load integration [News release].",regulator_media,https://www.ferc.gov/news-events/news/ferc-launches-aggressive-targeted-action-speed-large-load-integration,2026-07-16,primary,no,US,single_extraction,none,
SRC-GT-2026-TX,"Greenberg Traurig. (2026, March). Texas Senate Bill 6 update: Proposed interconnection standards [Client alert].",law_firm_alert,https://www.gtlaw.com/en/insights/2026/3/texas-senate-bill-6-update-what-data-centers-large-load-customers-should-know-about-proposed-interconnection-standards,2026-07-16,secondary,no,US-TX,single_extraction,none,
